participant,date_local,n_pairs,pearson_r,p_value,bin_minutes,lag_bins,lag_minutes,plot_path
1,2025-02-03,20,0.43284631774228977,0.056615557908843796,5,1,5,./graphs/child_day_overlays/P001_2025-02-03.png
1,2025-02-04,20,0.8425870938592225,3.1360121259969624e-06,5,0,0,./graphs/child_day_overlays/P001_2025-02-04.png
1,2025-02-05,31,0.7048492662665194,9.56626443721742e-06,5,-1,-5,./graphs/child_day_overlays/P001_2025-02-05.png
1,2025-02-06,37,0.9136264298512481,3.0402235623895876e-15,5,0,0,./graphs/child_day_overlays/P001_2025-02-06.png
1,2025-02-07,15,0.49818790075245073,0.058756803135934246,10,0,0,./graphs/child_day_overlays/P001_2025-02-07.png
2,2025-02-03,33,0.232270937459134,0.19335411107102685,5,-4,-20,./graphs/child_day_overlays/P002_2025-02-03.png
2,2025-02-04,16,0.6445725922082007,0.007028148168190626,5,0,0,./graphs/child_day_overlays/P002_2025-02-04.png
4,2025-02-10,22,0.7976067416515419,8.758430009437639e-06,5,0,0,./graphs/child_day_overlays/P004_2025-02-10.png
4,2025-02-11,22,0.7331059571186623,0.00010393913466501264,5,0,0,./graphs/child_day_overlays/P004_2025-02-11.png
4,2025-02-12,25,0.8572191476794725,4.444488130143655e-08,5,0,0,./graphs/child_day_overlays/P004_2025-02-12.png
4,2025-02-13,23,0.8609959604166527,1.344001579537688e-07,5,0,0,./graphs/child_day_overlays/P004_2025-02-13.png
5,2025-02-10,11,0.15032491392591718,0.6590840179955406,5,-12,-60,./graphs/child_day_overlays/P005_2025-02-10.png
5,2025-02-11,10,-0.23463312495131053,0.5140752686953196,15,0,0,./graphs/child_day_overlays/P005_2025-02-11.png
7,2025-02-24,15,0.3584948797600494,0.18947879465069384,10,6,60,./graphs/child_day_overlays/P007_2025-02-24.png
7,2025-02-25,12,0.685704801239243,0.013830172464487027,5,1,5,./graphs/child_day_overlays/P007_2025-02-25.png
7,2025-02-26,27,0.6813188136465109,9.137904842666191e-05,5,0,0,./graphs/child_day_overlays/P007_2025-02-26.png
7,2025-02-27,24,0.6905407493950629,0.00018768040702558453,5,0,0,./graphs/child_day_overlays/P007_2025-02-27.png
8,2025-02-25,17,0.41838711224231273,0.09465174581793998,5,-8,-40,./graphs/child_day_overlays/P008_2025-02-25.png
8,2025-02-27,19,0.8950496094531494,2.2967114974183106e-07,5,0,0,./graphs/child_day_overlays/P008_2025-02-27.png
8,2025-02-28,23,0.7681072928207557,1.8718585037604427e-05,5,1,5,./graphs/child_day_overlays/P008_2025-02-28.png
16,2025-03-25,9,0.2451855965633859,0.5248626333019313,5,-3,-15,./graphs/child_day_overlays/P016_2025-03-25.png
16,2025-03-26,11,0.8610623326991256,0.0006628170467613584,5,0,0,./graphs/child_day_overlays/P016_2025-03-26.png
average,,,0.6202020202020202,0.00030303030303030303,5,0,0,
