participant,date_local,n_pairs,bin_minutes,pearson_r,p_value
1,2025-02-03,20,5,0.43284631774228977,0.056615557908843796
1,2025-02-04,20,5,0.8425870938592225,3.1360121259969624e-06
1,2025-02-05,31,5,0.7048492662665194,9.56626443721742e-06
1,2025-02-06,37,5,0.9136264298512481,3.0402235623895876e-15
1,2025-02-07,13,5,0.6196833731428528,0.02388582844966396
2,2025-02-03,33,5,0.232270937459134,0.19335411107102685
2,2025-02-04,16,5,0.6445725922082007,0.007028148168190626
4,2025-02-10,22,5,0.7976067416515419,8.758430009437639e-06
4,2025-02-11,22,5,0.7331059571186623,0.00010393913466501264
4,2025-02-12,25,5,0.8572191476794725,4.444488130143655e-08
4,2025-02-13,23,5,0.8609959604166527,1.344001579537688e-07
7,2025-02-24,14,5,0.34028292086501316,0.2338663796605881
7,2025-02-25,12,5,0.685704801239243,0.013830172464487027
7,2025-02-26,27,5,0.6813188136465109,9.137904842666191e-05
7,2025-02-27,24,5,0.6905407493950629,0.00018768040702558453
8,2025-02-25,17,5,0.41838711224231273,0.09465174581793998
8,2025-02-27,19,5,0.8950496094531494,2.2967114974183106e-07
8,2025-02-28,23,5,0.7681072928207557,1.8718585037604427e-05
