participant,points,first_ts,last_ts,days_with_data,avg_points_per_day,interval_median_s,interval_mean_s,interval_p05_s,interval_p95_s,typical_interval_s
1,15193,2025-02-03 08:00:57+00:00,2025-02-07 13:18:32+00:00,5,3038.6,5.0,24.00309373354397,1.0,9.0,5.0
2,7914,2025-02-03 08:08:03+00:00,2025-02-07 08:00:13+00:00,5,1582.8,5.0,43.615569316314925,1.0,9.0,5.0
3,1585,2025-02-04 08:49:56+00:00,2025-02-05 11:07:19+00:00,2,792.5,5.0,59.749368686868685,1.0,9.0,5.0
4,7914,2025-02-03 08:08:03+00:00,2025-02-07 08:00:13+00:00,5,1582.8,5.0,43.615569316314925,1.0,9.0,5.0
5,366,2025-02-10 08:29:07+00:00,2025-02-13 08:33:24+00:00,4,91.5,9.0,710.841095890411,2.0,528.8000000000002,9.0
6,17340,2025-02-24 08:35:28+00:00,2025-02-27 14:59:46+00:00,4,4335.0,5.0,16.27879347136513,1.0,9.0,5.0
7,3780,2025-02-24 08:41:48+00:00,2025-02-27 14:23:22+00:00,4,945.0,5.0,74.01270177295581,2.0,9.0,5.0
8,21240,2025-02-10 08:41:09+00:00,2025-02-14 14:34:53+00:00,5,4248.0,5.0,17.271246292198313,1.0,9.0,5.0
9,8688,2025-03-17 08:27:31+00:00,2025-03-20 14:39:13+00:00,4,2172.0,5.0,32.40497294808334,1.0,9.0,5.0
12,8688,2025-03-17 08:27:31+00:00,2025-03-20 14:39:13+00:00,4,2172.0,5.0,32.40497294808334,1.0,9.0,5.0
14,8196,2025-03-25 08:49:11+00:00,2025-03-27 13:56:09+00:00,3,2732.0,5.0,23.333496034167176,1.0,9.0,5.0
16,4719,2025-03-25 08:09:19+00:00,2025-03-27 13:49:42+00:00,3,1573.0,5.0,40.95442984315388,1.0,9.0,5.0
